[1014/012910:ERROR:ipc_channel_win.cc(482)] pipe error: 109
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1109/085414:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224759:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224804:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224809:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224814:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224819:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224824:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224829:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224834:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224839:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224844:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224849:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224854:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224859:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224904:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224909:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224914:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224919:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224924:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224929:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224934:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224939:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224944:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224949:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224954:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/224959:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225004:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225009:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225014:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225019:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225024:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225029:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225034:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225039:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225044:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225049:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225054:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225059:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225104:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225109:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225114:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225119:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225124:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225129:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225134:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225139:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225145:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225155:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225200:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225300:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225305:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225310:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225315:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225320:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225325:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
